user_id,group,purchase,revenue,session_duration,device_type
1,control,0,0.0,209,mobile
2,treatment,0,0.0,890,desktop
3,control,0,0.0,90,mobile
4,control,1,51.23,176,desktop
5,control,0,0.0,593,mobile
6,treatment,0,0.0,320,mobile
7,control,0,0.0,112,desktop
8,control,0,0.0,240,mobile
9,control,0,0.0,24,desktop
10,treatment,1,56.05,129,desktop
11,control,0,0.0,58,desktop
12,control,1,38.06,31,mobile
13,control,0,0.0,100,desktop
14,control,0,0.0,25,desktop
15,treatment,0,0.0,216,desktop
16,control,1,56.63,109,desktop
17,treatment,0,0.0,136,desktop
18,treatment,0,0.0,28,desktop
19,treatment,0,0.0,27,desktop
20,control,0,0.0,157,mobile
21,treatment,0,0.0,756,mobile
22,control,0,0.0,18,mobile
23,treatment,0,0.0,60,mobile
24,treatment,0,0.0,366,desktop
25,treatment,0,0.0,13,mobile
26,treatment,0,0.0,375,desktop
27,treatment,0,0.0,133,mobile
28,treatment,1,67.49,94,mobile
29,treatment,0,0.0,66,mobile
30,treatment,1,27.58,63,mobile
31,control,0,0.0,65,mobile
32,control,0,0.0,389,mobile
33,treatment,0,0.0,231,desktop
34,treatment,0,0.0,199,mobile
35,treatment,0,0.0,288,mobile
36,control,0,0.0,53,desktop
37,treatment,0,0.0,173,mobile
38,control,0,0.0,110,mobile
39,control,0,0.0,274,mobile
40,control,0,0.0,66,mobile
41,control,0,0.0,185,desktop
42,control,0,0.0,384,mobile
43,treatment,0,0.0,92,desktop
44,treatment,0,0.0,12,desktop
45,treatment,0,0.0,130,mobile
46,treatment,0,0.0,76,desktop
47,treatment,0,0.0,200,mobile
48,control,0,0.0,542,mobile
49,treatment,0,0.0,119,mobile
50,treatment,0,0.0,112,mobile
51,control,0,0.0,191,desktop
52,treatment,0,0.0,19,mobile
53,control,0,0.0,52,desktop
54,treatment,1,17.69,452,desktop
55,control,0,0.0,199,mobile
56,treatment,1,40.42,2,desktop
57,treatment,0,0.0,41,desktop
58,control,0,0.0,206,mobile
59,control,0,0.0,260,mobile
60,control,0,0.0,329,mobile
61,control,0,0.0,62,mobile
62,control,0,0.0,481,mobile
63,control,0,0.0,144,mobile
64,control,0,0.0,214,desktop
65,control,0,0.0,163,desktop
66,treatment,0,0.0,23,mobile
67,treatment,0,0.0,593,mobile
68,control,0,0.0,23,mobile
69,treatment,0,0.0,52,mobile
70,treatment,1,44.09,302,mobile
71,treatment,0,0.0,173,desktop
72,treatment,1,54.6,327,mobile
73,control,0,0.0,130,mobile
74,treatment,0,0.0,85,mobile
75,control,0,0.0,458,desktop
76,treatment,0,0.0,6,desktop
77,treatment,1,67.29,348,mobile
78,treatment,0,0.0,47,mobile
79,control,0,0.0,339,mobile
80,treatment,0,0.0,26,mobile
81,control,0,0.0,156,desktop
82,treatment,1,40.54,394,desktop
83,control,0,0.0,115,desktop
84,treatment,0,0.0,247,mobile
85,control,0,0.0,293,mobile
86,control,0,0.0,240,desktop
87,treatment,0,0.0,467,mobile
88,control,0,0.0,106,desktop
89,treatment,0,0.0,34,mobile
90,treatment,0,0.0,8,mobile
91,treatment,0,0.0,50,desktop
92,treatment,0,0.0,27,mobile
93,treatment,0,0.0,146,mobile
94,treatment,0,0.0,36,mobile
95,treatment,0,0.0,7,desktop
96,treatment,0,0.0,6,mobile
97,treatment,0,0.0,320,mobile
98,treatment,0,0.0,161,desktop
99,treatment,0,0.0,79,mobile
100,control,0,0.0,404,desktop
101,control,0,0.0,13,mobile
102,treatment,0,0.0,707,desktop
103,treatment,0,0.0,172,mobile
104,treatment,0,0.0,36,desktop
105,treatment,0,0.0,204,desktop
106,treatment,0,0.0,259,desktop
107,treatment,0,0.0,100,mobile
108,treatment,0,0.0,356,mobile
109,treatment,0,0.0,29,desktop
110,control,0,0.0,58,mobile
111,treatment,0,0.0,17,mobile
112,control,0,0.0,42,desktop
113,treatment,0,0.0,49,mobile
114,treatment,0,0.0,449,desktop
115,control,0,0.0,14,mobile
116,treatment,0,0.0,100,desktop
117,control,0,0.0,136,mobile
118,treatment,0,0.0,412,mobile
119,treatment,0,0.0,1093,desktop
120,control,0,0.0,251,mobile
121,treatment,0,0.0,635,desktop
122,control,1,68.28,278,desktop
123,treatment,0,0.0,594,mobile
124,control,1,44.66,221,desktop
125,control,0,0.0,14,mobile
126,treatment,1,43.75,92,desktop
127,treatment,0,0.0,187,mobile
128,control,0,0.0,77,desktop
129,treatment,0,0.0,57,desktop
130,treatment,0,0.0,155,mobile
131,treatment,0,0.0,487,desktop
132,control,0,0.0,6,mobile
133,control,0,0.0,263,mobile
134,control,0,0.0,230,mobile
135,control,0,0.0,598,mobile
136,control,0,0.0,480,mobile
137,control,1,51.12,258,mobile
138,control,0,0.0,132,mobile
139,control,1,89.63,41,mobile
140,control,0,0.0,141,mobile
141,treatment,0,0.0,260,desktop
142,control,0,0.0,406,desktop
143,treatment,0,0.0,280,mobile
144,treatment,0,0.0,39,desktop
145,treatment,0,0.0,164,desktop
146,control,0,0.0,72,desktop
147,control,1,37.46,1,mobile
148,control,0,0.0,40,mobile
149,control,0,0.0,21,desktop
150,treatment,0,0.0,332,desktop
151,control,0,0.0,53,mobile
152,control,0,0.0,60,mobile
153,control,0,0.0,579,desktop
154,control,0,0.0,85,desktop
155,control,0,0.0,1,desktop
156,treatment,0,0.0,60,mobile
157,control,0,0.0,22,mobile
158,treatment,1,36.57,19,mobile
159,control,0,0.0,14,mobile
160,treatment,0,0.0,161,mobile
161,control,0,0.0,37,desktop
162,control,1,54.8,80,mobile
163,treatment,0,0.0,356,desktop
164,treatment,0,0.0,99,mobile
165,treatment,0,0.0,445,mobile
166,control,0,0.0,124,mobile
167,treatment,0,0.0,91,mobile
168,control,0,0.0,249,desktop
169,control,0,0.0,13,mobile
170,treatment,0,0.0,16,mobile
171,treatment,0,0.0,189,mobile
172,control,0,0.0,120,mobile
173,control,0,0.0,281,desktop
174,treatment,0,0.0,446,mobile
175,treatment,1,51.08,88,desktop
176,treatment,0,0.0,163,desktop
177,control,0,0.0,125,mobile
178,control,0,0.0,719,mobile
179,control,0,0.0,320,desktop
180,control,0,0.0,436,desktop
181,control,0,0.0,52,mobile
182,control,0,0.0,266,mobile
183,treatment,0,0.0,55,mobile
184,control,0,0.0,42,mobile
185,control,0,0.0,519,mobile
186,control,0,0.0,3,mobile
187,treatment,0,0.0,605,mobile
188,control,0,0.0,29,mobile
